[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.application.HelloApplication  - Error main
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Could not instantiate persister org.hibernate.persister.entity.SingleTableEntityPersister
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.service.spi.ServiceException: Unable to create requested service [org.hibernate.engine.jdbc.env.spi.JdbcEnvironment]
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Could not instantiate persister org.hibernate.persister.entity.SingleTableEntityPersister
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Could not instantiate persister org.hibernate.persister.entity.SingleTableEntityPersister
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Could not instantiate persister org.hibernate.persister.entity.SingleTableEntityPersister
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.internal.util.config.ConfigurationException: Could not locate cfg.xml resource [hibernate.cfg.xml]
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.internal.util.config.ConfigurationException: Could not locate cfg.xml resource [hibernate.cfg.xml]
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Could not instantiate persister org.hibernate.persister.entity.SingleTableEntityPersister
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Could not instantiate persister org.hibernate.persister.entity.SingleTableEntityPersister
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Could not instantiate persister org.hibernate.persister.entity.SingleTableEntityPersister
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Could not instantiate persister org.hibernate.persister.entity.SingleTableEntityPersister
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.MappingException: Could not instantiate persister org.hibernate.persister.entity.SingleTableEntityPersister
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.AnnotationException: @OneToOne or @ManyToOne on bg.tuvarna.sit.group5.tickets.data.entities.Event.organizer references an unknown entity: bg.tuvarna.sit.group5.tickets.data.entities.Organizer
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.AnnotationException: mappedBy reference an unknown target entity property: bg.tuvarna.sit.group5.tickets.data.entities.Event.idUser in bg.tuvarna.sit.group5.tickets.data.entities.Organizer.events
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.AnnotationException: mappedBy reference an unknown target entity property: bg.tuvarna.sit.group5.tickets.data.entities.DistribEvent.idUser in bg.tuvarna.sit.group5.tickets.data.entities.Distributor.events
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.AnnotationException: mappedBy reference an unknown target entity property: bg.tuvarna.sit.group5.tickets.data.entities.Event.idUser in bg.tuvarna.sit.group5.tickets.data.entities.Organizer.ticketsByIdEvent
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.AnnotationException: mappedBy reference an unknown target entity property: bg.tuvarna.sit.group5.tickets.data.entities.Event.idUser in bg.tuvarna.sit.group5.tickets.data.entities.User.ticketsByIdEvent
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.AnnotationException: mappedBy reference an unknown target entity property: bg.tuvarna.sit.group5.tickets.data.entities.Event.idUser in bg.tuvarna.sit.group5.tickets.data.entities.Organizer.events
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.AnnotationException: mappedBy reference an unknown target entity property: bg.tuvarna.sit.group5.tickets.data.entities.Event.Event in bg.tuvarna.sit.group5.tickets.data.entities.Organizer.events
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.AnnotationException: mappedBy reference an unknown target entity property: bg.tuvarna.sit.group5.tickets.data.entities.Event.event in bg.tuvarna.sit.group5.tickets.data.entities.Organizer.events
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.UserRepository  - Get Organizer error: org.hibernate.PropertyAccessException: Null value was assigned to a property [class bg.tuvarna.sit.group5.tickets.data.entities.Organizer.honor] of primitive type setter of bg.tuvarna.sit.group5.tickets.data.entities.Organizer.honor
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - The server time zone value '��������� - ���������� �����' is unrecognized or represents more than one time zone. You must configure either the server or JDBC driver (via the 'serverTimezone' configuration property) to use a more specifc time zone value if you want to utilize time zone support.
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.service.spi.ServiceException: Unable to create requested service [org.hibernate.engine.jdbc.env.spi.JdbcEnvironment]
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - The server time zone value '��������� - ���������� �����' is unrecognized or represents more than one time zone. You must configure either the server or JDBC driver (via the 'serverTimezone' configuration property) to use a more specifc time zone value if you want to utilize time zone support.
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.service.spi.ServiceException: Unable to create requested service [org.hibernate.engine.jdbc.env.spi.JdbcEnvironment]
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - The server time zone value '��������� - ���������� �����' is unrecognized or represents more than one time zone. You must configure either the server or JDBC driver (via the 'serverTimezone' configuration property) to use a more specifc time zone value if you want to utilize time zone support.
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.service.spi.ServiceException: Unable to create requested service [org.hibernate.engine.jdbc.env.spi.JdbcEnvironment]
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - The server time zone value '��������� - ���������� �����' is unrecognized or represents more than one time zone. You must configure either the server or JDBC driver (via the 'serverTimezone' configuration property) to use a more specifc time zone value if you want to utilize time zone support.
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.service.spi.ServiceException: Unable to create requested service [org.hibernate.engine.jdbc.env.spi.JdbcEnvironment]
[JavaFX Application Thread] ERROR org.hibernate.engine.jdbc.spi.SqlExceptionHelper  - Unknown database 'dcm4cheedb'
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.access.Connection  - Initial SessionFactory created failed org.hibernate.service.spi.ServiceException: Unable to create requested service [org.hibernate.engine.jdbc.env.spi.JdbcEnvironment]
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.UserRepository  - Get User error: No entity found for query
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.UserRepository  - Get User error: No entity found for query
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.UserRepository  - Get User error: No entity found for query
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.UserRepository  - Get User error: No entity found for query
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.UserRepository  - Get User error: No entity found for query
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.UserRepository  - Get User error: No entity found for query
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.UserRepository  - Get User error: No entity found for query
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.UserRepository  - Get User error: No entity found for query
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.UserRepository  - Get User error: No entity found for query
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.UserRepository  - Get User error: No entity found for query
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.UserRepository  - Get User error: No entity found for query
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.UserRepository  - Get User error: No entity found for query
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.UserRepository  - Get User error: No entity found for query
[JavaFX Application Thread] ERROR bg.tuvarna.sit.group5.tickets.data.repositories.UserRepository  - Get User error: No entity found for query
